,game,model,experiment,episode,metric,value
0,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_2,Aborted,1.0
1,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_2,Lose,0.0
2,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_2,Success,0.0
3,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_2,Request Count,16.0
4,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_2,Parsed Request Count,16.0
5,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_2,Violated Request Count,0.0
6,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_2,Request Success Ratio,1.0
7,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_2,Episode Speed,0.0
8,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_2,Draw,0.0
9,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_2,Episode Efficiency,0.75
10,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_2,Episode Reprompt Efficiency,0.5
11,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_2,Episode Accuracy,0.6923076923076923
12,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_2,Episode Parsing Error Share,0.0
13,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_2,Episode Accepted Moves per Error,3.0
14,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_2,Percentage Completed,0.5
15,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_2,Main Score,12.98076923076923
16,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_4,Aborted,1.0
17,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_4,Lose,0.0
18,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_4,Success,0.0
19,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_4,Request Count,5.0
20,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_4,Parsed Request Count,5.0
21,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_4,Violated Request Count,0.0
22,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_4,Request Success Ratio,1.0
23,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_4,Episode Speed,0.0
24,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_4,Draw,0.0
25,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_4,Episode Efficiency,0.4
26,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_4,Episode Reprompt Efficiency,0.0
27,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_4,Episode Accuracy,0.6666666666666666
28,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_4,Episode Parsing Error Share,0.0
29,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_4,Episode Accepted Moves per Error,0.6666666666666666
30,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_4,Percentage Completed,0.10869565217391304
31,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_4,Main Score,1.4492753623188406
32,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_1,Aborted,1.0
33,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_1,Lose,0.0
34,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_1,Success,0.0
35,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_1,Request Count,5.0
36,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_1,Parsed Request Count,5.0
37,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_1,Violated Request Count,0.0
38,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_1,Request Success Ratio,1.0
39,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_1,Episode Speed,0.0
40,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_1,Draw,0.0
41,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_1,Episode Efficiency,0.4
42,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_1,Episode Reprompt Efficiency,0.0
43,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_1,Episode Accuracy,0.6666666666666666
44,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_1,Episode Parsing Error Share,0.0
45,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_1,Episode Accepted Moves per Error,0.6666666666666666
46,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_1,Percentage Completed,0.021739130434782608
47,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_1,Main Score,0.2898550724637681
48,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_0,Aborted,1.0
49,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_0,Lose,0.0
50,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_0,Success,0.0
51,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_0,Request Count,10.0
52,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_0,Parsed Request Count,10.0
53,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_0,Violated Request Count,0.0
54,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_0,Request Success Ratio,1.0
55,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_0,Episode Speed,0.0
56,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_0,Draw,0.0
57,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_0,Episode Efficiency,0.7
58,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_0,Episode Reprompt Efficiency,0.0
59,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_0,Episode Accuracy,0.875
60,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_0,Episode Parsing Error Share,0.0
61,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_0,Episode Accepted Moves per Error,2.3333333333333335
62,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_0,Percentage Completed,0.30434782608695654
63,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,9_multiplayer_True_True_True_2,episode_0,Main Score,9.320652173913043
64,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_2,Aborted,1.0
65,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_2,Lose,0.0
66,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_2,Success,0.0
67,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_2,Request Count,8.0
68,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_2,Parsed Request Count,8.0
69,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_2,Violated Request Count,0.0
70,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_2,Request Success Ratio,1.0
71,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_2,Episode Speed,0.0
72,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_2,Draw,0.0
73,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_2,Episode Efficiency,0.875
74,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_2,Episode Reprompt Efficiency,
75,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_2,Episode Accuracy,0.875
76,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_2,Episode Parsing Error Share,0.0
77,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_2,Episode Accepted Moves per Error,7.0
78,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_2,Percentage Completed,0.8695652173913043
79,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_2,Main Score,33.28804347826087
80,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_3,Aborted,1.0
81,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_3,Lose,0.0
82,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_3,Success,0.0
83,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_3,Request Count,9.0
84,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_3,Parsed Request Count,9.0
85,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_3,Violated Request Count,0.0
86,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_3,Request Success Ratio,1.0
87,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_3,Episode Speed,0.0
88,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_3,Draw,0.0
89,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_3,Episode Efficiency,0.8888888888888888
90,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_3,Episode Reprompt Efficiency,
91,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_3,Episode Accuracy,0.8888888888888888
92,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_3,Episode Parsing Error Share,0.0
93,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_3,Episode Accepted Moves per Error,8.0
94,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_3,Percentage Completed,0.6956521739130435
95,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_3,Main Score,27.482555018786904
96,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_4,Aborted,1.0
97,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_4,Lose,0.0
98,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_4,Success,0.0
99,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_4,Request Count,3.0
100,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_4,Parsed Request Count,3.0
101,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_4,Violated Request Count,0.0
102,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_4,Request Success Ratio,1.0
103,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_4,Episode Speed,0.0
104,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_4,Draw,0.0
105,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_4,Episode Efficiency,0.6666666666666666
106,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_4,Episode Reprompt Efficiency,
107,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_4,Episode Accuracy,0.6666666666666666
108,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_4,Episode Parsing Error Share,0.0
109,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_4,Episode Accepted Moves per Error,2.0
110,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_4,Percentage Completed,0.0
111,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_4,Main Score,0.0
112,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_1,Aborted,1.0
113,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_1,Lose,0.0
114,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_1,Success,0.0
115,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_1,Request Count,10.0
116,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_1,Parsed Request Count,10.0
117,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_1,Violated Request Count,0.0
118,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_1,Request Success Ratio,1.0
119,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_1,Episode Speed,0.0
120,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_1,Draw,0.0
121,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_1,Episode Efficiency,0.9
122,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_1,Episode Reprompt Efficiency,
123,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_1,Episode Accuracy,0.9
124,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_1,Episode Parsing Error Share,0.0
125,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_1,Episode Accepted Moves per Error,9.0
126,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_1,Percentage Completed,0.0
127,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_1,Main Score,0.0
128,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_0,Aborted,1.0
129,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_0,Lose,0.0
130,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_0,Success,0.0
131,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_0,Request Count,6.0
132,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_0,Parsed Request Count,6.0
133,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_0,Violated Request Count,0.0
134,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_0,Request Success Ratio,1.0
135,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_0,Episode Speed,0.0
136,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_0,Draw,0.0
137,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_0,Episode Efficiency,0.8333333333333334
138,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_0,Episode Reprompt Efficiency,
139,ludo,gemma-2-9b-it-t0.0--programmatic-t0.0,14_multiplayer_True_False_False_1,episode_0,Episode Accuracy,0.8333333333333334
